RG;PAYS;CAPITALE;ALTITUDE;LATITUDE;LONGITUDE; GMT;PRECIPIT.;TEMP.JANV.;TEMP.JUIL.;AMPLITUDE
115;MALTE;LA VALETTE;74;36N;14E;1,00 ;564;12,9;22,2;9,3
116;MAN;DOUGLAS;620;54N;5W;0,00 ;1139;5;14;9
117;MAROC;RABAT;19;33N;7W;0,00 ;564;12,9;22,2;9,3
118;MARTINIQUE;FORT-DE-FRANCE;146;15N;61W;-5,00 ;1840;23,5;25,6;2,1
119;MAURICE;PORT-LOUIS;55;19N;57E;4,00 ;1866;28;19;-9
120;MAURITANIE;NOUAKCHOTT;5;20N;10N;0,00 ;195;23;28;5
121;MAYOTTE;MAYOTTE;2;;;3,00 ;2500;27;23;-4
122;MEXIQUE;MEXICO;2237;19N;99W;-6,00 ;747;12,6;16,1;3,5
123;MONACO;MONACO;37;44N;7E;1,00 ;758;10;23,3;13,3
124;MONGOLIE;OULAN BATOR;1150;47N;105E;7,00 ;208;-25,6;16,1;41,7
125;MONTSERRAT;PLYMOUTH;248;17N;62W;-5,00 ;1200;22;28;6
126;MOZAMBIQUE;MAPUTO;59;26S;33E;2,00 ;768;25,4;18,4;-7
127;NAMIBIE;WINDHOEK;1728;22S;17E;2,00 ;20;20;14;-6
128;NAURU;MAKWA;37;1S;167E;12,00 ;2236;27,5;27,4;-0,1
129;NEPAL;KHATMANDOU;1348;22N;85E;5,30 ;1428;10;24,4;14,4
130;NICARAGUA;MANAGUA;1338;13N;85W;-6,00 ;1140;26;30;4
131;NIGER;NIAMEY;226;13N;2E;1,00 ;636;24,7;28,3;3,6
132;NIGERIA;ABUJA;38;9N;7E;1,00 ;1625;26,7;24,4;-2,3
133;NIUE;ALOFI;59;19S;170W;-11,00 ;2900;28;27;-1
134;NORVEGE;OSLO;203;60N;11E;1,00 ;832;-6,9;16;22,9
135;NOUVELLE-CALEDONIE;NOUMEA;75;22S;166E;11,00 ;1083;25,6;19,4;-6,2
